,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold
46,0.23471130116417319,0.13983548601838441,0.7300613049042144,119.0,7132.0,732.0,44.0,0.8184894744397082,8.523875693838648e-05
47,0.21040923228075217,0.1277997348115977,0.5950919880311664,97.0,7202.0,662.0,66.0,0.7554554731041198,0.0037609776943332692
48,0.21110814026380764,0.12890094804747695,0.5828220501336165,95.0,7222.0,642.0,68.0,0.750592121276423,0.00033451625395257504
49,0.26141349862342644,0.175847453901537,0.5092024227483176,83.0,7475.0,389.0,80.0,0.7298682666683309,0.0028170816911875524
50,0.19671899316072347,0.11352885417664282,0.7361962738529894,120.0,6927.0,937.0,43.0,0.808522879753353,0.000824868879828788
51,0.232186591586234,0.14789915717816543,0.5398772674921921,88.0,7357.0,507.0,75.0,0.7377031467462194,0.00017209402646169183
52,0.24654335791438226,0.14910025515295303,0.7116563980578897,116.0,7202.0,662.0,47.0,0.8137376816930767,0.00016164688861152403
53,0.2769922044306494,0.17126269707891587,0.7239263359554395,118.0,7293.0,571.0,45.0,0.8256585106316585,0.00020455552442193078
54,0.21085312160274983,0.12704402355919467,0.619631863826266,101.0,7170.0,694.0,62.0,0.7656908237584956,0.00014728399551802254
55,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,1.0589647269032706e+52
56,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,1.351927358227723e+53
57,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,3.574000154953575e+49
58,0.20863782486901514,0.12595419687081175,0.6073619259287162,99.0,7177.0,687.0,64.0,0.7600009205574522,0.001250613473649179
59,0.20995619249522646,0.13448275630202144,0.47852757800444307,78.0,7362.0,502.0,85.0,0.7073462044948168,0.0004088140532561308
60,0.18933743753667018,0.10877513611722911,0.7300613049042144,119.0,6889.0,975.0,44.0,0.8030393218456084,0.0003723089987225638
61,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,1.9502928111956347e+70
62,0.21349855012193747,0.12241224012230208,0.8343557770333879,136.0,6889.0,975.0,27.0,0.855186561109412,0.00010694632171620718
63,0.2047027777631129,0.12663755274181146,0.5337422985434173,87.0,7264.0,600.0,76.0,0.7287226407204688,0.0011823307845317428
64,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,2.282323307033897e+45
65,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,2.3381261932010167e+37
66,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,5.885521212695435e+63
67,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,6.796516772372509e+52
68,0.18767154134924754,0.12159709398190392,0.41104291956791905,67.0,7380.0,484.0,96.0,0.6747483289541844,0.00036816104430916624
69,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,2.3334214050242968e+50
70,0.18087036257239547,0.10888610627176339,0.5337422985434173,87.0,7152.0,712.0,76.0,0.721601582734711,0.0002771187923341722
71,0.23558571580660312,0.1480314937317875,0.5766870811848417,94.0,7323.0,541.0,69.0,0.7539463049760031,0.0005537428409465201
72,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,5.826701062969988e+73
73,0.1838419960977845,0.10369206517131135,0.8098159012382883,132.0,6723.0,1141.0,31.0,0.8323621972302143,0.000990466951112521
74,0.23866533470824963,0.14052287428624322,0.7914109943919635,129.0,7075.0,789.0,34.0,0.8455402111977233,0.000763204171842047
75,0.20091106576201848,0.11468288345192977,0.8098159012382883,132.0,6845.0,1019.0,31.0,0.8401190639647005,0.0005274360217919173
76,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,3.9953243143098646e+48
77,0.2535996593736645,0.15034168393688288,0.8098159012382883,132.0,7118.0,746.0,31.0,0.8574766428049854,0.0005099156317871354
78,0.23191007139129702,0.13829787070569893,0.7177913670066646,117.0,7135.0,729.0,46.0,0.8125452477391732,0.00040995441153180876
79,0.17706820060367803,0.09879175480602875,0.8527606838797126,139.0,6596.0,1268.0,24.0,0.8457598187594005,0.0006811259238514666
80,0.21440582459020155,0.12462612039256112,0.7668711185968639,125.0,6986.0,878.0,38.0,0.8276115746837339,0.0009829479706220587
81,0.21874767487251998,0.12630579177297444,0.8159508701870631,133.0,6944.0,920.0,30.0,0.8494810552396883,0.0005657930409192942
82,0.2333906753712929,0.13669821097057613,0.7975459633407385,130.0,7043.0,821.0,33.0,0.846573107864369,0.00021493762501277816
83,0.1823920664414949,0.10169491453605287,0.8834355286235872,144.0,6592.0,1272.0,19.0,0.8608429185727927,0.001483298542633341
84,0.28571111093443696,0.17797888117678912,0.7239263359554395,118.0,7319.0,545.0,45.0,0.8273116133783522,0.0015133641325210054
85,0.22475927772666,0.1330326929759561,0.7239263359554395,118.0,7095.0,769.0,45.0,0.8130694974068364,0.0007126047593067745
86,0.18601480253728161,0.10386819409836537,0.8895704975723621,145.0,6613.0,1251.0,18.0,0.865245601607699,0.001014939814553311
87,0.2794085608364251,0.17457886409527007,0.6993864601603399,114.0,7325.0,539.0,49.0,0.8154231599772824,0.0003764769871462197
88,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,9.698239727489226e+39
89,0.2489850940124329,0.14909090728374658,0.754601180699314,123.0,7162.0,702.0,40.0,0.8326668393362001,0.00075529587142526
90,0.17725981741366037,0.0984385600920668,0.8895704975723621,145.0,6536.0,1328.0,18.0,0.8603498742424904,0.0007693066314895697
91,0.2063340110235355,0.118913856564477,0.7791410564944137,127.0,6923.0,941.0,36.0,0.8297409488918984,0.0005946949563245886
92,0.16475158375247284,0.092564490951711,0.7484662117505392,122.0,6668.0,1196.0,41.0,0.7981904024864414,0.0009614179343262633
93,0.22294850092424753,0.12866603473352853,0.8343557770333879,136.0,6943.0,921.0,27.0,0.8586199283525455,0.0007338758781867696
94,0.18382141696833296,0.10442773513427123,0.7668711185968639,125.0,6792.0,1072.0,38.0,0.8152768849584033,0.001192819021668534
95,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,7.782705698420295e+53
96,0.2694033575796797,0.16549789389203515,0.7239263359554395,118.0,7269.0,595.0,45.0,0.8241325696347103,0.0005970521253157458
97,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,9.277952307727447e+60
98,0.17914244094185092,0.10052513052869369,0.8220858391358381,134.0,6665.0,1199.0,29.0,0.8348094758127431,0.0011271689636265863
99,0.20327223631096328,0.11435149566882966,0.9141103733674617,149.0,6710.0,1154.0,14.0,0.8836828851206711,0.0010263551922047407
100,0.25080790214016346,0.15223096913082718,0.7116563980578897,116.0,7218.0,646.0,47.0,0.8147549756910423,0.000661471473775552
101,0.2036080286100279,0.11538461444038778,0.8650306217772624,141.0,6783.0,1081.0,22.0,0.8637844116857748,0.0009938846573155178
102,0.17248857372752116,0.09813874705466373,0.7116563980578897,116.0,6798.0,1066.0,47.0,0.7880510082444501,0.0005153665721098798
103,0.18414135300745124,0.1027837251764188,0.8834355286235872,144.0,6607.0,1257.0,19.0,0.8617966316958853,0.0007551795733551956
104,0.1665712075014658,0.09169764503285226,0.9079754044186868,148.0,6398.0,1466.0,15.0,0.8607781674977689,0.0016770429376967335
105,0.19463382630417456,0.11120840533092465,0.7791410564944137,127.0,6849.0,1015.0,36.0,0.8250359641513084,0.00040541247626395906
106,0.17396800790497233,0.09736456736921986,0.8159508701870631,133.0,6631.0,1233.0,30.0,0.8295802414044898,0.001337789006046974
107,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,2.492489127027872e+53
108,0.22117828830527742,0.13053097200740077,0.7239263359554395,118.0,7078.0,786.0,45.0,0.8119886225339983,0.000698224403799313
109,0.23529163005716486,0.13764337708401067,0.8098159012382883,132.0,7037.0,827.0,31.0,0.8523265919402855,0.0014711403695510264
110,0.19815448862844678,0.11325724220142895,0.7914109943919635,129.0,6854.0,1010.0,34.0,0.831488837850826,0.0013616846511087602
111,0.19724229254719186,0.11184210434340375,0.8343557770333879,136.0,6784.0,1080.0,27.0,0.8485105692477641,0.0011007101363802825
112,0.23839601344279993,0.13995726346199505,0.8036809322895133,131.0,7059.0,805.0,32.0,0.8506578865249113,0.0006743065547768375
113,0.19890257380738444,0.11682743711867699,0.6687116154164653,109.0,7040.0,824.0,54.0,0.7819651873256402,0.0005254170767444036
114,0.207196841458317,0.120901638105516,0.7239263359554395,118.0,7006.0,858.0,45.0,0.8074107995431539,0.0005901572347167464
115,0.22326820229127176,0.12804328108166563,0.8711655907260374,142.0,6897.0,967.0,21.0,0.8741001160838549,0.0005280462962354734
116,0.1696258115487601,0.0935524646425255,0.9079754044186868,148.0,6430.0,1434.0,15.0,0.8628127554936996,0.0028500683371786802
117,0.23134070064752602,0.1364136398634363,0.760736149648089,124.0,7079.0,785.0,39.0,0.8304571113843312,0.0007204848919657526
118,0.2514824367509333,0.14994096635252696,0.7791410564944137,127.0,7144.0,720.0,36.0,0.8437923222387956,0.0006655755712070499
119,0.19312152515615497,0.10963455058443064,0.8098159012382883,132.0,6792.0,1072.0,31.0,0.83674927759644,0.0018301659399271798
120,0.22265356885304388,0.13240417964687365,0.6993864601603399,114.0,7117.0,747.0,49.0,0.8021983380037321,0.0011973741123677479
121,0.21320494063331516,0.12597547239715193,0.6932514912115649,113.0,7080.0,784.0,50.0,0.7967783609708604,0.0022009994613547447
122,0.26342175596639833,0.15776698837661424,0.7975459633407385,130.0,7170.0,694.0,33.0,0.8546478789732195,0.0007735996151295042
123,0.23153803080512453,0.13597430261269483,0.7791410564944137,127.0,7057.0,807.0,36.0,0.8382607861248588,0.0013166356165706934
124,0.19320259172700077,0.10837070173116067,0.8895704975723621,145.0,6671.0,1193.0,18.0,0.8689332923503236,0.00065698199875634
125,0.20180507238689874,0.11502145824015916,0.8220858391358381,134.0,6833.0,1031.0,29.0,0.8454910627913799,0.0008593536257472643
126,0.15359668224497677,0.08416715665587313,0.8773005596748122,143.0,6308.0,1556.0,20.0,0.8397184654463299,0.001029437366106055
127,0.17004890469593023,0.09483368651922373,0.8220858391358381,134.0,6585.0,1279.0,29.0,0.8297230058229159,0.0009496708434641612
128,0.1982584331639826,0.11550151858661076,0.6993864601603399,114.0,6991.0,873.0,49.0,0.7941871477697545,0.0007157072027386174
129,0.23868839912475262,0.14155250979962888,0.760736149648089,124.0,7112.0,752.0,39.0,0.8325552802551348,0.000867710571041478
130,0.1984940869133752,0.11311053887651638,0.8098159012382883,132.0,6829.0,1035.0,31.0,0.8391017699667351,0.000865438425262185
131,0.17933796100218774,0.10154345977625134,0.7668711185968639,125.0,6758.0,1106.0,38.0,0.8131151352127269,0.001938560974322974
132,0.26258367160614143,0.1564705863944637,0.8159508701870631,133.0,7147.0,717.0,30.0,0.8623879728388744,0.0005319483656831645
133,0.2249977739598556,0.12891674011712856,0.8834355286235872,144.0,6891.0,973.0,19.0,0.8798536001597713,0.00032684799978195206
134,0.16226230879813056,0.09039943874982874,0.7914109943919635,129.0,6566.0,1298.0,34.0,0.8131775458874485,0.0015017167621096696
135,0.2211197805606436,0.12774070421600855,0.8220858391358381,134.0,6949.0,915.0,29.0,0.8528664442766292,0.0006871452470906349
136,0.1987294647848902,0.11226114560301637,0.8650306217772624,141.0,6749.0,1115.0,22.0,0.8616226619400982,0.0006029176329689421
137,0.1671770518064145,0.09289617422885127,0.8343557770333879,136.0,6536.0,1328.0,27.0,0.8327425122793003,0.0029141531810586833
138,0.20504507492065102,0.11764705775885016,0.7975459633407385,130.0,6889.0,975.0,33.0,0.8367816531339519,0.0012785221204388397
139,0.16549944427884586,0.09143592986840998,0.8711655907260374,142.0,6453.0,1411.0,21.0,0.8458702076403147,0.008244826593499819
140,0.19624611796276664,0.11120196147831593,0.8343557770333879,136.0,6777.0,1087.0,27.0,0.8480655031236543,0.0018756372555159247
141,0.21415681946607099,0.12512926447642952,0.7423312428017642,121.0,7018.0,846.0,42.0,0.8173762240293581,0.0013176693667074533
142,0.20826733747349263,0.11898512581815288,0.8343557770333879,136.0,6857.0,1007.0,27.0,0.8531519731134813,0.001774122255580801
143,0.29432735238910845,0.18318318043268497,0.7484662117505392,122.0,7320.0,544.0,41.0,0.8396451329035318,0.0006777147228000004
144,0.19175685995231226,0.11010008998999009,0.7423312428017642,121.0,6886.0,978.0,42.0,0.8089835485461434,0.0009186416725847144
